Fri Jun 28 02:53:05 2024    profile_data.prof

         513254174 function calls (512834223 primitive calls) in 282.596 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      706    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
      107    0.000    0.000    0.000    0.000 re.py:187(match)
      659    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        2    0.000    0.000    0.000    0.000 process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 __init__.py:1077(flush)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
   155/45    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      192    0.000    0.000    0.000    0.000 __init__.py:421(_edges)
        1    0.000    0.000    0.000    0.000 threading.py:916(start)
        3    0.000    0.000    0.000    0.000 dataclasses.py:587(_repr_fn)
      759    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      813    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
     1816    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 utils.py:76(wrap)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        2    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
        9    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
     2151    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      188    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      200    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 synchronize.py:186(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        3    0.000    0.000    0.000    0.000 dataclasses.py:623(_cmp_fn)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       43    0.000    0.000    0.000    0.000 std.py:400(format_interval)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       44    0.000    0.000    0.000    0.000 utils.py:273(_is_ascii)
        2    0.000    0.000    0.000    0.000 __init__.py:649(formatMessage)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 inspect.py:3252(signature)
        1    0.000    0.000    0.000    0.000 inspect.py:2998(from_callable)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_callable)
       22    0.000    0.000    0.000    0.000 std.py:1446(format_dict)
       28    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
       21    0.000    0.000    0.000    0.000 {built-in method now}
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        4    0.000    0.000    0.000    0.000 typing.py:306(inner)
     1506    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
      109    0.000    0.000    0.000    0.000 std.py:231(__call__)
        1    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 threading.py:589(wait)
        1    0.000    0.000    0.000    0.000 utils.py:73(<dictcomp>)
       22    0.000    0.000    0.000    0.000 std.py:186(__format__)
       25    0.000    0.000    0.000    0.000 std.py:102(acquire)
        1    0.000    0.000    0.000    0.000 threading.py:288(wait)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 __init__.py:912(acquire)
        2    0.000    0.000    0.000    0.000 threading.py:827(__init__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      151    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 dataclasses.py:722(_get_field)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        2    0.000    0.000    0.000    0.000 __init__.py:438(format)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       41    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       45    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       25    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       70    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 __init__.py:86(Status)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       25    0.000    0.000    0.000    0.000 std.py:106(release)
